Table with column headers in row 3,,,,,,
"2020 Poverty Estimates for School districts                                                                                                                                                       Source: U.S. Census Bureau, Small Area Income and Poverty Program (SAIPE)                                                                                                              Release date:   December 2021",,,,,,
State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AZ,04,07570,Scottsdale Unified District,"264,360","33,588","2,428"
AZ,04,09733,Sedona-Oak Creek Joint Unified District,"19,776","1,454",181
AZ,04,07630,Seligman Unified District,"1,497",140,22
AZ,04,07680,Sentinel Elementary District,154,27,7
AZ,04,07700,Show Low Unified District,"17,001","2,634",671
AZ,04,01460,Sierra Vista Unified District,"47,512","7,041","1,014"
AZ,04,07770,Skull Valley Elementary District,692,106,11
AZ,04,07820,Snowflake Unified District,"12,770","2,655",644
AZ,04,07860,Solomon Elementary District,"3,020",388,58
AZ,04,07890,Somerton Elementary District,"24,012","3,273",864
AZ,04,07920,Sonoita Elementary District,"1,828",111,13
AZ,04,08020,St. David Unified District,"3,573",501,81
AZ,04,08080,St. Johns Unified District,"4,221",773,245
AZ,04,08130,Stanfield Elementary District,"6,642",880,105
AZ,04,08170,Sunnyside Unified District,"95,024","19,594","4,906"
AZ,04,08230,Superior Unified School District,"4,307",633,154
AZ,04,08280,Tanque Verde Unified District,"12,426","1,907",96
AZ,04,08310,Tempe School District,"172,152","13,326","2,723"
AZ,04,08340,Tempe Union High School District,"352,818","16,339","1,663"
AZ,04,08410,Thatcher Unified District,"7,788","1,532",190
AZ,04,08490,Tolleson Elementary District,"18,055","2,862",642
AZ,04,08520,Tolleson Union High School District,"197,644","12,903","1,918"
AZ,04,08550,Toltec Elementary District,"18,163","2,111",371
AZ,04,08600,Tombstone Unified District,"7,419","1,025",231
AZ,04,05760,Tonto Basin Elementary District,"1,656",103,30
AZ,04,08640,Topock Elementary District,"2,714",148,36
AZ,04,08680,Tuba City Unified District,"17,028","3,609",975
AZ,04,08800,Tucson Unified District,"511,676","72,533","14,462"
AZ,04,08820,Union Elementary District,"16,746","2,922",482
AZ,04,08850,Vail Unified District,"56,869","10,922",651
AZ,04,08880,Valentine Elementary District,270,36,12
AZ,04,08910,Valley Union High School District,"3,780",170,18
AZ,04,00022,Vernon Elementary District,"1,941",256,102
AZ,04,09030,Walnut Grove Elementary District,117,1,0
AZ,04,09060,Washington Elementary District,"270,784","29,918","6,724"
AZ,04,09090,Wellton Elementary District,"4,507",361,88
AZ,04,09120,Wenden Elementary District,853,98,31
AZ,04,09160,Whiteriver Unified District,"13,357","2,983","1,009"
AZ,04,09190,Wickenburg Unified District,"13,411","1,460",251
AZ,04,09250,Willcox Unified District,"8,280","1,455",234
AZ,04,09310,Williams Unified District,"6,088",875,182
AZ,04,09360,Williamson Valley Elementary School District,684,57,9
AZ,04,09390,Wilson Elementary District,"4,777",664,220
AZ,04,09430,Window Rock Unified District,"11,909","2,391",971
AZ,04,09460,Winslow Unified District,"12,056","2,131",586
AZ,04,09510,Yarnell Elementary District,"1,346",65,15
AZ,04,09540,Young Elementary School District,897,95,22
AZ,04,09570,Yucca Elementary District,744,45,24
AZ,04,09600,Yuma Elementary District,"110,431","11,040","2,111"
AZ,04,09630,Yuma Union High School District,"210,725","12,289","2,440"
AR,05,02250,Alma School District,"16,447","3,096",538
AR,05,02280,Alpena School District,"3,020",542,150
AR,05,02430,Arkadelphia School District,"15,637","1,949",380
AR,05,02550,Armorel School District,"1,282",287,45
AR,05,02580,Ashdown School District,"9,005","1,421",341
AR,05,02610,Atkins Public Schools,"6,888","1,209",237
AR,05,02670,Augusta School District,"3,074",428,165
AR,05,02700,Bald Knob School District,"7,463","1,377",288
AR,05,02730,Barton-Lexa School District,"2,572",476,120
AR,05,00019,Batesville School District,"20,167","3,514",534
AR,05,02790,Bauxite School District,"7,036","1,304",126
AR,05,02820,Bay School District,"3,412",614,111
AR,05,00032,Bearden School District,"3,166",502,106
AR,05,02880,Beebe School District,"17,798","3,492",550
AR,05,02960,Benton School District,"33,138","5,895",605
AR,05,03060,Bentonville Public Schools,"97,368","18,896","1,212"
AR,05,03090,Bergman School District,"5,056",934,145
AR,05,03150,Berryville Public Schools,"11,192","2,082",362
AR,05,03240,Bismarck Public Schools,"6,346",987,198
AR,05,03300,Blevins School District,"3,395",604,147
AR,05,03320,Blytheville School District,"14,735","2,731",852
AR,05,03450,Booneville School District,"7,381","1,127",273
AR,05,03480,Bradford School District,"2,919",520,103
AR,05,03630,Brinkley School District,"3,627",549,210
AR,05,03640,Brookland School District,"10,101","1,895",251
AR,05,03690,Bryant Public Schools,"53,691","9,991",975
AR,05,03710,Buffalo Island Central School District,"5,020",863,166
AR,05,03750,Cabot Public Schools,"52,167","10,235","1,034"
AR,05,03770,Caddo Hills School District,"3,584",544,154
AR,05,03840,Calico Rock School District,"3,575",393,97
AR,05,06060,Camden Fairview School District,"17,478","2,733",754
AR,05,03960,Carlisle School District,"4,538",757,100
AR,05,04050,Cave City School District,"8,519","1,536",346
AR,05,00070,Cedar Ridge School District,"5,631","1,048",161
AR,05,04080,Cedarville School District,"5,373",987,247
AR,05,06690,Centerpoint School District,"5,332",941,234
